;Partie1;Partie1.1;Partie2;Partie2.1;Partie3;Partie3.1;Partie4;Partie4.1;Partie5;Partie5.1;Partie6;Partie6.1
;Coordonnee;Score;Coordonnee;Score;Coordonnee;Score;Coordonnee;Score;Coordonnee;Score;Coordonnee;Score
0;Winner;1.0;Winner;2.0;Winner;1.0;Winner;2.0;Winner;1.0;Winner;1
1;[0, 1];1.6893055222025846;[0, 0];-3.110379415216725;[0, 3];2.0620001083411315;[0, 3];-2.0620001083411315;[0, 6];3.110379415216725;[0, 2];4.8079461672499395
2;[0, 3];-2.0620001083411315;[0, 3];3.110379415216725;[1, 3];-2.526496490378191;[0, 1];2.0620001083411315;[0, 0];-3.8522756882859137;[0, 6];-6.060942240869022
3;[0, 6];2.027166626643101;[0, 4];-3.73245529826007;[0, 4];2.4744001300093577;[0, 0];-2.4744001300093577;[1, 6];3.73245529826007;[0, 4];5.769535400699927
4;[0, 4];-2.4744001300093577;[1, 3];3.73245529826007;[1, 4];-3.0317957884538287;[0, 6];2.4744001300093577;[0, 2];-4.622730825943096;[0, 0];-7.2731306890428264
5;[0, 5];2.4325999519717216;[1, 0];-4.478946357912084;[0, 6];2.969280156011229;[1, 3];-2.969280156011229;[0, 5];4.478946357912084;[1, 4];6.923442480839912
6;[1, 3];-2.969280156011229;[2, 3];4.478946357912084;[0, 5];-3.638154946144595;[0, 4];2.969280156011229;[1, 5];-5.547276991131716;[1, 0];-8.727756826851392
7;[0, 2];2.919119942366066;[3, 3];-5.3747356294945;[0, 2];3.5631361872134746;[1, 1];-3.5631361872134746;[1, 0];5.3747356294945;[1, 2];8.308130977007893
8;[2, 3];-3.5631361872134746;[2, 0];5.3747356294945;[0, 1];-4.365785935373513;[1, 4];3.5631361872134746;[2, 6];-6.656732389358058;[0, 5];-10.473308192221669
9;[3, 3];3.502943930839279;[1, 4];-6.4496827553934;[1, 1];4.27576342465617;[0, 2];-4.27576342465617;[2, 5];6.4496827553934;[0, 3];9.969757172409475
10;[1, 2];-4.27576342465617;[2, 4];6.4496827553934;[0, 0];-5.238943122448216;[2, 4];4.27576342465617;[0, 4];-7.98807886722967;[0, 1];-12.567969830666003
11;[1, 4];4.203532717007135;[0, 1];-7.739619306472079;[2, 3];5.130916109587403;[3, 4];-5.130916109587403;[3, 5];7.739619306472079;[2, 4];11.963708606891366
12;[4, 3];-5.130916109587403;[3, 4];7.739619306472079;[2, 4];-6.286731746937858;[2, 1];5.130916109587403;[4, 5];-9.585694640675603;[3, 4];-15.081563796799202
13;[1, 5];5.0442392604085615;[4, 4];-9.287543167766495;[3, 4];6.157099331504884;[2, 3];-6.157099331504884;[1, 2];9.287543167766495;[2, 2];14.35645032826964
14;[2, 4];-6.157099331504884;[0, 5];9.287543167766495;[4, 4];-7.54407809632543;[3, 3];6.157099331504884;[0, 1];-11.502833568810724;[3, 2];-18.097876556159044
15;[3, 4];6.053087112490274;[1, 5];-11.145051801319797;[1, 2];7.38851919780586;[1, 0];-7.38851919780586;[0, 3];11.145051801319797;[1, 3];17.22774039392357
16;[5, 3];-7.38851919780586;[2, 5];11.145051801319797;[3, 3];-9.052893715590516;[1, 2];7.38851919780586;[2, 0];-13.803400282572868;[1, 1];-21.71745186739085
17;[2, 2];7.263704534988327;[5, 4];-13.374062161583751;[2, 2];8.866223037367032;[2, 0];-8.866223037367032;[5, 5];13.374062161583751;[1, 5];20.67328847270828
18;[1, 1];-8.866223037367032;[3, 5];13.374062161583751;[3, 2];-10.863472458708618;[3, 0];8.866223037367032;[3, 6];-16.56408033908744;;
19;[2, 1];8.716445441985993;[0, 2];-16.048874593900504;[2, 1];10.63946764484044;[1, 6];-10.63946764484044;[3, 0];16.048874593900504;;
20;[0, 0];-10.63946764484044;[1, 2];16.048874593900504;[5, 4];-13.036166950450342;[3, 1];10.63946764484044;[1, 1];-19.87689640690493;;
21;[1, 0];10.45973453038319;[2, 2];-19.2586495126806;[3, 1];12.767361173808524;[4, 0];-12.767361173808524;[2, 1];19.2586495126806;;
22;[3, 1];-12.767361173808524;[4, 5];19.2586495126806;[4, 1];-15.643400340540408;[2, 2];12.767361173808524;;;;
23;[3, 2];12.551681436459829;;;[4, 2];15.320833408570229;[3, 2];-15.320833408570229;;;;
24;[4, 1];-15.320833408570229;;;[1, 0];-18.77208040864849;[5, 0];15.320833408570229;;;;
25;[4, 2];15.062017723751794;;;[2, 0];18.38500009028428;[0, 5];-18.38500009028428;;;;
26;[2, 0];-18.38500009028428;;;;;[1, 5];18.38500009028428;;;;
27;[5, 2];18.07442126850215;;;;;;;;;;
